id,Tweet_english,Cos_Sim
36,"delhi weekend curfew in force cm arvind kejriwal says curbs may be eased if covid cases start coming down 

read ",2
37,"novakdjokovic  ausopen covid 

serbian president accuses australia of mistreating djokernole 

read ",2
38,"paracetamol good enough in mild cases of covid say experts 

coronavirus omicron variant live updates  ",2
39,"choice and price vaccine passes protect freedom and livelihoods 

read todays toi edit 

 ",2
40,"delhi daily covid cases dip below  on fewer tests 

 ",2
41,"delhi mumbai cases fall peak in covid infections or dip in tests 

read    

covid ",2
42,covid  tamil nadu reports  new cases  recoveries and  deaths in the last  hours active cases ,2
43,englands covid prevalence steadies at record high ons  ,2
44,ratlam madhya pradesh citizens irked as garbage vehicle drags girl to death ,2
45,covid mumbai   new cases  recoveries and  deaths reported today ,2
46,karnataka reports  new cases  recoveries and  deaths in the last  hours active cases  ,2
47,"covid  delhi reports  new cases  deaths and  recoveries active cases 

positivity rate  ",2
48,covid  jammu and kashmir reports  new cases   from jammu amp  from kashmir in the last  hours activ ,2
49,ramp up covid vaccination of school students doe  ,2
50,covaxin booster effectively neutralises omicron amp delta variants shows emory university study ,2
51,strictly follow covid norms mamata to gangasagar pilgrims  ,2
52,weekly case positivity in  districts over  dont treat omicron as the common cold govt ,2
53,maharashtra cabinet in view of covid all school buses will get  exemption from annual vehicle tax this year ,2
54,covaxin bbv booster shown to neutralize both omicron and delta variants of sarscov bharat biotech ,2
55,covid  surge  gadgets to help you monitor oxygen level sanitise items and more  ,2
56,vaccine nationalism could spawn new variants warns medical expert  ,2
57,omicron is not common cold its our responsibility to slow it down lets maskup and get vaccinated whoever is d ,2
58,all symptomatic cases including all risk contacts need to be tested asymptomatic cases are not required to get t ,2
59,after a review meeting by pm over covid situation we have revised our discharge policy with severity categorised i ,2
60,in video from death bed woman slams up cops  ,2
61,omicron has a substantial growth advantage over delta as per whodata from south africa uk canada denmark sugg ,2
62,total  confirmed deaths globally due to omicron and  death in india lav agarwal joint secretary health minis ,2
63,emerging states of concern reporting surge in covid cases are maharashtra west bengal  delhi tamil nadu  karn ,2
64,a sharp surge in covid cases in india active cases  as on th janhigh surge noticed globally  coun ,2
65,alarming spike in covid cases in assam other northeast states  ,2
66,union health minister mansukh mandaviya chaired a meeting over covid situation with regional director of directorat ,2
67,rs  crore was collected in penalty and  firs were lodged for offences related to violation of covid norms in ,2
68,covid in karnataka only  infected in hospitals  in icus  ,2
69,omicron found in  out of  samples in lucknow ,2
70,we have not yet recovered financially from the first two waves of covid and now people are cancelling their booki ,2
71,delhi  hotel amp travel industry operators face hardships due to covid induced restrictions for international trave ,2
72,"dec   according to court documents djokovic tests negative for covid in serbia

australianopen ",2
73,dec   djokovic tests positive for covid in serbia although that is not public knowledge until revealed ,2
74,dec   victoria state dy premier james merlino says medical exemptions for the vaccine policy would not be  ,2
75,"delhi covid live updates  staff test positive at bjp headquarters

 ",2
76,"expunjab chief minister amarindersingh tests positive for covid 

 ",2
77,"many depend on covid selftest kits in hyderabad doctors wary 

read  ",2
78,telangana steer clear of fancy covid treatments cocktail regimen say experts  ,2
79,former punjab cm captain amrinder singh tests positive for covid with mild symptoms ,2
80,"as new covid cases fall experts say curve may be flattening in mumbai 

read  ",2
81,if voted to power we will wipe out the drug syndicate from punjab ensure justice in all cases of sacrilege and e ,2
82,covid cases in delhi continues to be above  but the positivity rate is stagnant at around  which is a goo ,2
83,"the test positivity rate in delhi is currently at  against  on tuesday

delhicovid omicron 

",2
84,"justin  over  covid cases reported in karnataka in the last  hours

covid karnataka ",2
85,justin  over  covid cases and  deaths reported in delhi in the last  hours over  cases reported ,2
86,"daily positive numbers in mumbai drop significantly indicating a flattening of the curve in third wave

covid 

",2
87,covaxin booster shown to neutralize both omicron and delta variants of sarscov bharat biotech ,2
88,karnataka congress chief dk shivakumar continues to violate covid norms risking the lives of the people in the ,2
89,breaking  covaxin bbv booster shown to neutralize both omicron and delta variants of sarscov bharat biot ,2
90,"uk pm borisjohnson faces flak for hosting byob party during covid lockdown

video uk covid ",2
91,"lav agarwal joint secretary health ministry announces the revised discharge policy of covid patients

covid ",2
92,"vaccination is the only way to contain the spread of covid

statistics show  indians havent taken their nd ",2
93,"what steps are state governments taking to curb covid

radhika mumbai kangana delhi and deepak bengaluru ",2
94,"novakdjokovic admitted to have broken isolation for an lequipe interview while he had tested positive for covid
",2
95,bihar vaccine scam state govt has responded to times now exclusive newsbreak on black marketing of covid vaccine ,2
96,covid  centre asks states amp uts for taking immediate measures to ensure optimal availability of medical oxygen ,2
97,delhi health minister satyendarjain on wednesday said that the existing covid restrictions in the city will be ,2
98,"decodingriseofbjp

did bjp get it wrong with demo

revealed saffron tide amp beyond

authors of the rise of the bj ",2
99,"maharashtras covid tally continues to rise with  new cases and  deaths being reported 

maharashtra

",2
100,chennai continued to witness a steep increase in covid infections with  fresh cases being reported today ,2
101,mumbai on saturday reported  fresh covid infections even as more than  patients were discharged ,2
102,"omicron grips kerala as tally mounts to 

covid 

",2
103,"franklyspeakingwithbhupender

this book the rise of the bjp is not based on my single perspective ila ji  ",2
104,"chennai continued to witness a steep increase in covid infections with  fresh cases being reported today

",2
105,"with this the positivity rate in delhi remains at  per cent

covid delhi 

",2
106,a total of  new cases of coronavirus infection and  fatalities were reported in the national capital in th ,2
107,"there has been a continuous surge in covid cases in assam in the last few days

covid assam 

",2
108,according to the preliminary probe a yearold man was found strangled to death in his car near his house in gur ,2
109,"peak of third wave has arrived in delhi health minister satyendarjain

covid

",2
110,"tax deduction of covid expenses top india incs budget wish list

budget

",2
111,"washing masking distancing

cant afford another wave  unite to fight omicron

renew the wmd pledge give a missed ",2
112,a preprint study conducted on individuals infected by the omicron variant has highlighted the evidence of early c ,2
113,"google mandates weekly covid tests for people entering us offices

",2
114,"karnataka seers participate in chariot festival at udupi mutt violates covid norms

udupimutt

",2
115,amid rapid decline in fresh covid cases delhi health minister says peak of third wave has arrived in delhi ,2
116,assembly elections  ec extends ban on physical rallies until jan  amid covid surge ,2
117,west bengal ec reschedules  civic body polls to feb  amid rising covid cases ,2
118,in mumbai aadhaar number necessary to buy covid selfrat kit mayor pednekar ,2
119,covid ilbs confirms evidence of early community transmission of omicron variant in delhi  ,2
120,us manwho faked death to escape rape charge nabbed in hospital after contracting covid ,2
121,seems delhi has reached its peak in covid infections satyendar jain ,2
122,cluster university postpones exams scheduled to be conducted from jan  amid covid ,2
123,kerala schools for class  suspended till jan  amid covid spike ,2
124,india reports  fresh covid cases in  hours omicron tally crosses  mark ,2
125,bjp slams rahul gandhi as pakistan endorses his fake tweet on covid deaths in india ,2
126,lateral flow tests can detect covid from day  for rtpcr its up to  days icmr dg ,2
127,mumbai once again sees spike in daily covid count with  new cases seven more die ,2
128,aimims biryani party to woo voters in muzaffarnagar breaches covid norms cases lodged ,2
129,siddaramaiah says congress will continue mekedatu padayatra despite rapid covid surge ,2
130,breaking  mumbai reports  new covid cases in a span of  hours an increase in the new infections compa ,2
131,weekly case positivity in  districts over  dont treat omicron as common cold govt ,2
132,bharat biotechs covaxin booster dose effective against both omicron amp delta variants ,2
133,covid vaccination pace in children shows youths sense of responsibility says pm modi ,2
134,covid health ministry says fully vaccinated people are  less likely to be hospitalised ,2
135,covid cases rose by more than  number of deaths remain stable says who ,2
136,haryana govt orders shutting down of schools till january  amid covid spike ,2
137,"breaking  covaxin booster shown to neutralise both omicron and delta variants says bharat biotech

tune in for m ",2
138,tripura equipped to face rd wave of pandemic people should abide by covid protocols cm ,2
139,live  omicron has come out as a variant of concern more than  lakh omicron cases around the globe omicron is s ,2
140,live  union health ministry press briefing on covid situation across the country as new infections continue to ,2
141,karnataka hc raps govt for allowing congress padayatra amid covid issues notice to kpcc ,2
142,karnataka rd fir against congress leaders for violating covid norms during padayatra ,2
143,captain amarinder singh tests positive for covid with mild symptoms isolates himself ,2
144,covid health secretary asks statesuts to ensure availability of medical oxygen ,2
145,jampk police finalise actions for  completion of pending uapa cases to get priority ,2
146,novak djokovic probably didnt know he had covid when he was in public mother claims ,2
147,us fauci slams covid vaccine skeptic senator for death threats calls him moron ,2
148,bombay hc to conduct hearing for  hours till jan  on urgent matters amid covid spike ,2
149,omicron will find just about everybody but vaccinated will fare well says fauci ,2
150,here are worlds greatest threats for  and no covid pandemic is not at the top ,2
151,cbse term  results  class th th evaluation process impacted due to covid ,2
152,covid current composition of vaccines may need to be updated warn experts ,2
153,abhishek singhvi slams western media targeting india on covid reminds antimask mob ,2
154,covid pfizer unsure about length of its booster protection against omicron says ceo ,2
155,covid variants inflation amp debt threaten global economic growth warns world bank ,2
156,i will not say that covid cases have started declining and people should not worry dr raman gangakhedkar former c ,2
157,breaking  vaccine  gains against omicron and delta variant covaxin booster benefits show big gains for cova ,2
158,"elections omicron netas wear mask

art by neelabhtoons ",2
159,"dk shivakumar amp siddaramaiah continue their day of padayatra

 congress leaders have already tested covid posi ",2
160,comparing the scenario with mumbai satyendra jain said cases have started declining there and the same situation i ,2
161,those individuals with symptoms like cough fever sore throat or loss of taste or smell and other covid signs need ,2
162,another congress mla who took part in the superspreader mekedatupadyatra has now tested covid positive ,2
163,"omicron surge  american hospitals face staff shortage

the us sees a crunch in the number of healthcare worker ",2
164,"covidinindia  rajeev ranjan paediatrician on vaccine availability for kids

join the broadcast with ",2
165,"no further covid restrictions in maharashtra sources

covid situation to be discussed in the cabinet today ",2
166,"how prepared is mumbai for covid third wave

listen in to mumbai mayor kishori pednekar

has mumbai crossed th ",2
167,"covid india report

 new cases reported in the last  hours 

active caseload jumps to 

daily ",2
168,"breaking  over l cases in india daily positivity rate at 

covid 

read more  ",2
169,"covid curve in mumbai flattens cases decline steadily

mihirz brings in this special report from the maximum c ",2
170,"breaking  major covid scare at bjp headquarters

over  people test positive for covid

payalmehta with ",2
171,"omicron spreads to southern china city bordering macau  cases detected

",2
172,"with  cases delhi sees dip in daily covid infections

",2
173,exclusive  author the rise of the bjp ila patnaik ilapatnaik in an exclusive conversation with maryashakil ,2
174,during the first two waves of covid children were among the least affected groups however the third wave whi ,2
175,newsalert  kerala reports  new covid cases in the last  hours and confirmed  new omicron cases on s ,2
176,"newsalert  delhi reports  new cases and  deaths in last  hours

covid 

read more ",2
177,"breaking  ec extends ban on physical rallies till jan  amid covid boom

covid election 

read more ",2
178,"ec to extend the order of ban on election rallies due to rise in covid cases sources

dhantanews shares more det ",2
179,"jampk goes into restriction mode to contain covid 

corona curfew ordered in few districts on weekends 

weekend ",2
180,breaking   new cases recorded in the last  hours in india daily positivity rate spikes to  acti ,2
181,breaking  indias active caseload currently stands at  daily cases cross  lakh ,2
182,"covid ground report from jammu and kashmir as the state battles third wave

islahmufti with this special repor ",2
183,"devotees participate in maghmela in prayagraj amid surge in covid cases

all covid norms compromised

festivi ",2
184,delhi mumbai and west bengal three covid hotspots in the latest wave of covid infections saw marginal dips in ne ,2
185,"omicron surge indias daily positivity rate crosses  watch this report 
newstoday with sardesairajdeep  ",2
186,when will the third wave peak is omicron confined to big metros newstoday omicron coronavirus  ,2
187,"karnataka sees  covid cases city reports more than  infections in last  hours
live updates ",2
188,pune shows massive spike in covid cases how is govt tackling the situation india todays pkhelkar gets us th ,2
189,"wbjee registration date extended due to covid

",2
190,omicron is not a common cold its our responsibility to slow it down said paul he exhorted people to wear masks ,2
191,"dance of democracy admist omicron wave
experts warn of big spike due to rallies
covid omicron elections ",2
192,"biotech covaxin booster neutralises omicron
covid omicron 
pmprime  poojashali ",2
193,"delhi logs  new covid cases when will coronavirus cases reach a peak in the national capital
delhi cm says ",2
194,"taking a look at covid situation in india is the worst over for mumbai 
india todays journovidya shares more ",2
195,"when will the third wave peak is omicron confined to big metros 
watch newstoday with sardesairajdeep at  pm o ",2
196,"unmissable covid peak insight and information is third wave ebbing in mumbai
watch pmprime with poojashali ",2
197,"karnataka congress chief dk shivakumars mekedatu padayatra amid rising covid cases
all covid protocols go for ",2
198,"dk shivakumars mekedatu padayatra amid rising covid cases
ivelive  shivaroor
watch live ",2
199,the severity of coronavirus cases has been categorised into mild and moderate lav agarwal joint secretary of un ,2
200,fearing another covid lockdown the migrant workers have started leaving the city and are heading towards their hom ,2
201,"covid peak next in delhi
watch delhi health minister satyendarjain live on pmprime with poojashali 
dont for ",2
202,india is struggling to preserve a semblance of social life amid the vicious cycle of covid restrictions lockdowns ,2
203,"amid covid scare shoppers throng mumbais poisar market
pics sheltemilind
itphotoblog coronavirus ",2
204,gangasagarmela bengal government has set up covid testing centers in the maidan area for testing the devotees cm ,2
205,"researchers observed a definite shift from delta predominance to omicron along with its community spread

 ",2
206,on saturday maharashtra recorded  new covid cases and  deaths in  hours there are  active ,2
207,according to state media beijing reported its first locally transmitted infection of the highly transmissible ,2
208,thiruvananthapuram authorities banned public gatherings after the covid positivity rate surpassed  per cent on ,2
209,"karnataka reports  new covid cases  deaths in last  hours
nolanentreeo 
",2
210,as covid cases risehospitals are bracing for the challenge aiims jhajjar is geared up for patient inflow and is w ,2
211,"on friday delhi had reported  cases with a positivity rate of  per cent and  deaths

india delhi ",2
212,"this is the second death to have occurred during the bulltaming competition in the state

pramodmadhav india ",2
213,"karnataka sees  fresh covid cases  deaths today test positivity rises to 

track updates ",2
214,covid norms go for a toss as thousands gather for jallikattu events in tamil nadu heres a ground report ,2
215,omicron wave has hit india unicef says  people in india suffer from mental health issues how to stay positiv ,2
216,justin india assemblyelections covidsurge covid physicalrallies ,2
217,"civic polls deferred in bengal amid covid surge 
itvideo covid omicron
poulomimsaha ",2
218,"the west bengal govt on saturday eased covid relaxations coronavirus by suryavachan
",2
219,since the announcement of election schedule covid cases have risen sharply in five pollbound states in punjab an ,2
220,how is omicron different from delta omicron faqs with top experts  omicron covid itlivestream  ,2
221,"ec likely to extend ban on physical rallies in view of covid pandemic
assembly elections  live updates  ",2
222,videos from the area showed people flouting covid appropriate behaviour such as maintaining physical distancing and ,2
223,"as covid cases surge ec likely to extend ban on election rallies
electioncommission electionrallies covid ",2
224,"jallikattu festival begins in tamil nadu amid strict covid norms  pramodmadhav 
jallikattu tamilnadu covid ",2
225,"covid tally in pollbound states and top  states with most daily cases being reported
covid coronavirus ",2
226,fir against samajwadi party for violating election covid norms bjps obc faces join samajwadi party  isamarths ,2
227,model actress lily cole has apologised after receiving flak for wearing a burqa to promote her new book amid rise ,2
228,global semiconductor shortage gives rise to rivalry japan worries about its once thriving semiconductor industry ,2
229,the preliminary death toll from the major earthquake that struck southwestern haiti last weekend surged to  as ,2
230,sydney which is in its eighth week of lockdown is the epicentre of australias third covid wave that threatens ,2
231,afghanistan has witnessed a huge rise in internally displaced people since the withdrawal of the us troops began i ,2
232,afghanistan has witnessed a huge rise in internally displaced people  since the withdrawal of us troops wions ,2
233,after a botched exit us president joe biden blames the afghans for the evolving crisis meanwhile talibans rise ,2
234,gravitas  an afghan teenager who played for the national youth football team fell to his death after trying to cl ,2
235,"indias drug regulator has approved zyduscadilas vaccine for emergency use in children aged above  years

",2
236,zydus cadilas threedose covid dna vaccine has been approved for emergency use in adults and children aged  y ,2
237,"investigators are confused and worried about the unexplained death of a california family on a hiking trail

",2
238,the death toll from an attack on civilians and the military in northern burkinafaso has risen to  the attack oc ,2
239,covid convalescent plasma also known as survivors plasma is blood plasma which is derived from patients who ,2
240,organisers said they would implement covid protocols for the paralympics the same playbook used during the o ,2
241,emmys will now require for its guests to test negative for covid and carry proof of vaccination for its  edi ,2
242,nicole kidman has sparked a backlash in hong kong after the actress skipped the countrys strict covid quarantin ,2
243,the number of covid cases in australia climbed to its highest ever rate as police arrested hundreds of antilo ,2
244,india logged  new coronavirus infections while the active cases declined to  comprising  per c ,2
245,just days after newzealand imposed a lockdown  new cases of coronavirus were reported casting doubt over its ,2
246,australia faces double trouble as coronavirus numbers continue to rise australian citizens get angry over covid ,2
247,schittscreek creators and stars realeugenelevy and danjlevy announce that due to the surge in covid seen acros ,2
248,"newdelhi allows shops to open past pm as capital records lowest covid cases 

",2
249,even as several new cases of violence against women have come up a news report says pakistan has seen a significa ,2
250,irans ultraconservative president ebrahimraisi has said his government will prioritise tackling covid and acceler ,2
251,more than  schools in covid free areas in the indian state of mizoram have been allowed to reopen for the new ,2
252,"after the booing stopped donaldtrump said that you would be the first to know if the vaccine was ineffective

",2
253,north korea has never released information on coronavirus cases in the country although it was one of the first co ,2
254,vietnam is witnessing a sharp resurgence in the number of covid infections that have been fueled by the delta ,2
255,highlighting the increasingly heavy toll a recent wave of covid infections is taking on the economy japans fac ,2
256,more than  billion vaccinations have been administered across the world however vaccine inequity continues to re ,2
257,irans covid death toll has crossed  as the delta variant spreads through west asias worstaffected nat ,2
258,the coronavirus which has been rising across the globe the delta variant is driving the surge in cases countri ,2
259,hollywood actor sean penn is a vocal supporter of covid vaccine and thus insists that only vaccinated people be ,2
260,a facebook post about a healthy doctor dying two weeks after taking the covid vaccine was the most viewed con ,2
261,paralympics  after thangavelu mariyappan was quarantined due to coming in close contact with a covid positive ,2
262,"both india and russia have reasons to be wary of taliban rise in afghanistan

",2
263,a facebook post about a healthy doctor dying two weeks after taking the covid vaccine was the most viewed con ,2
264,israel mulls covid restrictions as the country faces a new surge in coronavirus cases despite high vaccination ,2
265,israel is witnessing effect on high delta variant infection rate less than a month into covid vaccine booster drive ,2
266,"live  how safe is the beijing bubble

from genocide to omicron watch the story of chinas controversial ",2
267,british government removes almost all covid curbs even as fresh coronavirus cases soar to record highs in uk healt ,2
268,"what makes pushpa the rise the most successful indian film during pandemic 

heres what the trade experts have ",2
269,a yearold muslim woman in pakistan has been sentenced to death over a blasphemous whatsapp status which had c ,2
270,"most havana syndrome cases unlikely caused by foreign power cia says

read this story from the new york times  ",2
271,india reports over  new covid cases marks a  increase in fresh infections in last  hours alysonle ,2
272,unvaccinated serbian tennis superstar novakdojovic bets big on a covid cure according to a new revelation djok ,2
273,india on thursday reported  covid cases in  hours with  deaths the health ministry said the dail ,2
274,inpics  amid all the covid controversies related to uk pm borisjohnson and his government heres a list of some ,2
275,the world is witnessing a new wave of covid pandemic infections while omicron is still considered a relatively ,2
276,uk prime minister borisjohnson has made a major announcement he said that most covid restrictions in uk would be l ,2
277,a turkeylinked ukbased law firm stoke white has filed cases against top indian officials accusing them of war ,2
278,from uk announcing lifting of covid curbs from next week to biden administrations decision to distribute free mas ,2
279,"uk inflation rate rise to a year high

",2
280,"travelers to sweden will no longer be required to show a negative covid test before entering the country

",2
281,omicron restrictions in scotland to end on monday says the first minister of scotland and leader of the scottish n ,2
282,"on gravitas with palkisu

 europe heading for war

 pak minister on tape xi not going anywhere over virus fe ",2
283,"live  on gravitas with palkisu 

 the wests live with covid plan
 djokovic in disgrace
 british pm unde ",2
284,"around four percent of us schools have already shut with the omicron variant tearing across the country

",2
285,"israel has seen infections nearly quadruple over the past week due to the omicron variant

",2
286,israels response to the covid pandemic is closely watched worldwide notably for two main things rapid vaccin ,2
287,as many as  employees or  per cent of the workforce at united airlines is down with covid forcing the a ,2
288,"djokovic could face fiveyear jail term if he is found to have lied about his positive covid test in australia

",2
289,who has warned that repeating booster doses of the original covid vaccines is not a viable longterm plan to ,2
290,latamangeshkar who was rushed to hospital after she tested positive for covid will remain under observation fo ,2
291,"in southern africa success against hiv offers hope for beating back another virus

read this story from the new yo ",2
292,"uk pm to face furious parliament amid partygate scandal

djokovic admits to not isolating after positive covid t ",2
293,"how is the omicron variant affecting children in israel and could it bring herd immunity

wions jodiecohen ",2
294,"peru hospitals fill as covid cases rise critical care wards stand at near collapse

saroyahem brings you this ",2
295,"india reports  new covid cases and  recoveries in the last  hours

eriknjoka brings you this rep ",2
296,"inpics  brits angrily contrast own lives during covid lockdown when pm johnson partied

",2
297,"china locks down anyang city amid surge in covid cases

saroyahem brings you this report

watch more ",2
298,pakistan citizens complain that hoteliers hiked prices forcing people to sleep in cars leading to the death of  ,2
299,"the number of active cases in the country has risen to  with positivity cases at  per cent 

",2
300,over  million covid cases reported in a day more than  people hospitalised across united states ,2
301,"omicron drives covid wave in europe poland records  amid surge

sehgalrahesha brings you this report

wa ",2
302,"as tensions with china rise australia spends  billion on  military tanks from the united states 

",2
303,anyang the city which had reported first death of disease which came to be known as covid has told its resident ,2
304,gravitas   tourists froze to death in pakistans murree town reports say the victims were compelled to spen ,2
305,gravitas  the omicron variant is spreading in china its inching closer to beijing the venue for ,2
306,while there is still much to learn about the novel variant doctors have observed that omicron symptoms are distin ,2
307,"cities across china are increasingly imposing stricter restrictions to control covid outbreak

",2
308,"on gravitas with palkisu 

the omicron surge

the story behind boycottmurree

chinas gulf strategy

south kor ",2
309,in the italian town of ancona a male nurse was detained for allegedly claiming to inject covid vaccines into at ,2
310,"inpics  boris johnson kim kardashian novak djokovic heres a list of most famous covid rulebreakers 

",2
311,"africa ivory coast uses soccer fever to create vaccine awareness

priyankash brings you this report 

watch mo ",2
312,"nd chinese city reports omicron cases zhuhai officials warn residents to not leave the city

priyankash brin ",2
313,"chinese capital city beijing reported its first locally transmitted omicron case on saturday states local media 

",2
314,"covid   years and one question heres what the experts have to say

by akankshaarora

",2
315,the new policy has been implemented as cases in the us continue to surge recently a health official said that the ,2
316,"the kashmir division recorded  positive coronavirus cases while the jammu division reported  cases 

",2
317,india is currently witnessing a record spike in covid cases fuelled by the highly transmissible omicronvariant ,2
318,"india reported  new covid cases in the last  hours along with 

the number of covid cases has risen ",2
319,amidst concerns that a relaxation of the virus rules can once again spark a fresh save of covid infections ,2
320,for the first time this year the number of new covid cases in the uk fell to its lowest level since december  ,2
321,in a major change to covid guidelines paris has now decided to strike down its outdoor mask rule ,2
322,slowly but surely several governments are coming around to the idea that covid may be endemic like the flu and a ,2
323,inpics  amid an infection wave that has hit its employees and affected operations the henley passport index has ,2
324,"inpics  amid all the covid controversies related to uk pm 
borisjohnson and his government heres a list of so ",2
325,lionel messi will miss another game for paris saintgermain after acknowledging that his recovery from covid has ,2
326,in a bid to relax covid restrictions the norwegian government will be partially reversing a ban on serving alcohol ,2
327,gravitas  china is trying to crush the omicron variant with an iron fist its aggressive measures have triggered ,2
328,"are we ready to treat covid like the flu some nations are increasingly thinking so

",2
329,inpics  amid all the covid controversies related to uk pm borisjohnson and his government heres a list of som ,2
330,"what are pox parties why some italians are paying for dinner with people infected with covid

",2
331,manchester city manager pep guardiola said there are additional covid cases at the club following last weeks ou ,2
332,new zealand pm warns new covid outbreak will get worse total  cases reported ,2
333,covid new zealand pm ardern announces lockdown says they go strong and go early ,2
334,formula   japanese gp called off due to ongoing complexities related to covid ,2
335,covid sydney and melbourne extend lockdown as delta variant cases soar in australia ,2
336,covid kerala health min directs officials to set up paediatric wards in  hospitals ,2
337,effect of single covishield dose minimal during nd covid wave in delhi study ,2
338,shiv sena frowns upon bjps jan ashirwad yatra dubs it as invitation for rd covid wave ,2
339,karnataka dr sudhakar urges covid recovered people to voluntarily check for tuberculosis ,2
340,biden has first talk with boris johnson on talibans rise ,2
341,india records  fresh covid cases  deaths ,2
342,jampk lg sinha takes stock of covid situation stresses on multifold strategies ,2
343,vidcon  cancelled as covid cases rise in the usa next event to be held in  ,2
344,haryana cm declares financial aid of rs  lakh to the needy who lost kin due to covid ,2
345,covid florida becomes hot zone increasing number of young people in hospitals ,2
346,pm modi hails approval of zycovd vaccine as momentous feat in indias covid fight ,2
347,isle of man govt says at risk children aged  eligible to book slots for covid jabs ,2
348,india gets st covid vaccine for children above  as zydus cadilas zycovd gets dcgi nod ,2
349,covid sri lanka declares lockdown amid delta surge president to address nation ,2
350,live now explained is a third covid wave coming delta variant of concern amp its effects watch it here  ,2
351,south africa to open up covid vaccinations to  year olds from august  ,2
352,congress opposes bjps jan ashirwad yatra amid covid mumbai police lodge  firs ,2
353,uae to approve tourist visas of indian passport holders as covid cases fall ,2
354,ronapreve uk approves firstofitskind drug to generate artificial covid antibodies ,2
355,explained is a third covid wave coming delta variant of concern amp its effects watch it here  ,2
356,france thousands protest against covid health pass for sixth consecutive weekend ,2
357,supporters welcome congs vinay kulkarni after bail  booked for flouting covid rules ,2
358,covid australian pm wants lockdown to continue until  of population is vaccinated ,2
359,covid indias active cases lowest after  months maha accounts for highest deaths ,2
360,covid us urges world leaders to virtually attend un general assembly session ,2
361,us highest number of indian student visas approved amid covid pandemic ,2
362, days on artificial lung support st covid patient to recover without lung transplant ,2
363,chinas draconian curbs see delta variant cases drop to nil for first time since july  ,2
364,over  crore covid vaccine doses provided to states uts so far centre ,2
365,iran records highest covid deaths in single day as country eases all restrictions ,2
366,navjot sidhu attacks punjab govt over sugarcane farmers demand for rise in sap ,2
367,guru nanaks death anniversary pak permits vaccinated sikh pilgrims to visit kartarpur amid covid ,2
368,australia pm scott morrison says covid lockdowns taking an extremely heavy toll ,2
369,asia pacific sovereign ratings can withstand covid waves for one two years sampp ,2
370,taiwan rolls out first homegrown covid jabs president tsai ingwen gets first shot ,2
371,sean penn reasserts stand on covid vaccines says i believe it should be mandatory ,2
372,new zealand pm jacinda ardern extends covid lockdown till august  ,2
373,covid booster shot increases immunity against infections says israeli study ,2
374,nidm report warns pmo of possible third covid wave peak in october ,2
375,israel struggles with high infection rate despite huge vaccination drive tightens curbs ,2
376,covid mansukh mandaviya says  cr additional vaccines to be provided to states in aug ,2
377,vijayans illogical strategy costing nation dearly centre on keralas covid surge ,2
378,australia hospitals in sydney running at maximum capacity as covid cases soar ,2
379,ivi bharat biotech start phase iiiii chikungunya vaccine trials in costa rica ,2
